district_id,week_tir,place4,place2,district,name,region,business_type
122,0,122,1,zeynabeiyeh,Ø²ÛŒÙ†Ø¨ÛŒÙ‡,13,3
960,0,960,1,tehran-gorgan,Ú¯Ø±Ú¯Ø§Ù†,7,3
960,1,960,1,tehran-gorgan,Ú¯Ø±Ú¯Ø§Ù†,7,3
960,2,960,1,tehran-gorgan,Ú¯Ø±Ú¯Ø§Ù†,7,3
313,0,313,1,shahr-e-qods,Ø´Ù‡Ø± Ù‚Ø¯Ø³,,3
313,1,313,1,shahr-e-qods,Ø´Ù‡Ø± Ù‚Ø¯Ø³,,3
313,2,313,1,shahr-e-qods,Ø´Ù‡Ø± Ù‚Ø¯Ø³,,3
985,0,985,1,hamzeh-abad,Ø­Ù…Ø²Ù‡â€ŒØ¢Ø¨Ø§Ø¯,20,3
985,1,985,1,hamzeh-abad,Ø­Ù…Ø²Ù‡â€ŒØ¢Ø¨Ø§Ø¯,20,3
985,2,985,1,hamzeh-abad,Ø­Ù…Ø²Ù‡â€ŒØ¢Ø¨Ø§Ø¯,20,3
1030,0,1030,1,shahrak-shahid-bagheri,Ø´Ù‡Ø±Ú© Ø´Ù‡ÛŒØ¯ Ø¨Ø§Ù‚Ø±ÛŒ,22,3
1030,1,1030,1,shahrak-shahid-bagheri,Ø´Ù‡Ø±Ú© Ø´Ù‡ÛŒØ¯ Ø¨Ø§Ù‚Ø±ÛŒ,22,3
1030,2,1030,1,shahrak-shahid-bagheri,Ø´Ù‡Ø±Ú© Ø´Ù‡ÛŒØ¯ Ø¨Ø§Ù‚Ø±ÛŒ,22,3
81,0,81,1,vanak-village,Ø¯Ù‡â€ŒÙˆÙ†Ú©,3,3
81,1,81,1,vanak-village,Ø¯Ù‡â€ŒÙˆÙ†Ú©,3,3
81,2,81,1,vanak-village,Ø¯Ù‡â€ŒÙˆÙ†Ú©,3,3
165,0,165,1,west-shahrak-e-golestan,Ø´Ù‡Ø±Ú© Ø±Ø§Ù‡â€ŒØ¢Ù‡Ù†,22,3
165,1,165,1,west-shahrak-e-golestan,Ø´Ù‡Ø±Ú© Ø±Ø§Ù‡â€ŒØ¢Ù‡Ù†,22,3
165,2,165,1,west-shahrak-e-golestan,Ø´Ù‡Ø±Ú© Ø±Ø§Ù‡â€ŒØ¢Ù‡Ù†,22,3
315,0,315,1,vanak,ÙˆÙ†Ú©,3,3
315,1,315,1,vanak,ÙˆÙ†Ú©,3,3
315,2,315,1,vanak,ÙˆÙ†Ú©,3,3
180,1,180,1,shahrak-e-aseman,Ø´Ù‡Ø±Ú© Ø¢Ø³Ù…Ø§Ù†,9,3
180,2,180,1,shahrak-e-aseman,Ø´Ù‡Ø±Ú© Ø¢Ø³Ù…Ø§Ù†,9,3
195,0,195,1,ostad-moein,Ø§Ø³ØªØ§Ø¯ Ù…Ø¹ÛŒÙ†,9,3
195,1,195,1,ostad-moein,Ø§Ø³ØªØ§Ø¯ Ù…Ø¹ÛŒÙ†,9,3
195,2,195,1,ostad-moein,Ø§Ø³ØªØ§Ø¯ Ù…Ø¹ÛŒÙ†,9,3
82,0,82,1,poonak,Ù¾ÙˆÙ†Ú©,5,3
82,1,82,1,poonak,Ù¾ÙˆÙ†Ú©,5,3
82,2,82,1,poonak,Ù¾ÙˆÙ†Ú©,5,3
133,0,133,1,vahidiyeh,ÙˆØ­ÛŒØ¯ÛŒÙ‡,8,3
133,1,133,1,vahidiyeh,ÙˆØ­ÛŒØ¯ÛŒÙ‡,8,3
133,2,133,1,vahidiyeh,ÙˆØ­ÛŒØ¯ÛŒÙ‡,8,3
980,0,980,1,taqiabad-rey,Ø´Ù‡Ø± Ø±ÛŒ - ØªÙ‚ÛŒâ€ŒØ¢Ø¨Ø§Ø¯,20,3
980,1,980,1,taqiabad-rey,Ø´Ù‡Ø± Ø±ÛŒ - ØªÙ‚ÛŒâ€ŒØ¢Ø¨Ø§Ø¯,20,3
980,2,980,1,taqiabad-rey,Ø´Ù‡Ø± Ø±ÛŒ - ØªÙ‚ÛŒâ€ŒØ¢Ø¨Ø§Ø¯,20,3
42,0,42,1,niavaran,Ù†ÛŒØ§ÙˆØ±Ø§Ù†,1,3
42,1,42,1,niavaran,Ù†ÛŒØ§ÙˆØ±Ø§Ù†,1,3
42,2,42,1,niavaran,Ù†ÛŒØ§ÙˆØ±Ø§Ù†,1,3
151,0,151,1,north-shahran,Ø´Ù‡Ø±Ø§Ù† Ø´Ù…Ø§Ù„ÛŒ,5,3
151,1,151,1,north-shahran,Ø´Ù‡Ø±Ø§Ù† Ø´Ù…Ø§Ù„ÛŒ,5,3
151,2,151,1,north-shahran,Ø´Ù‡Ø±Ø§Ù† Ø´Ù…Ø§Ù„ÛŒ,5,3
1028,0,1028,1,tehran-jolfa,Ø¬Ù„ÙØ§,3,3
1028,1,1028,1,tehran-jolfa,Ø¬Ù„ÙØ§,3,3
1028,2,1028,1,tehran-jolfa,Ø¬Ù„ÙØ§,3,3
90,0,90,1,yousef-abad,ÛŒÙˆØ³Ùâ€ŒØ¢Ø¨Ø§Ø¯,6,3
90,1,90,1,yousef-abad,ÛŒÙˆØ³Ùâ€ŒØ¢Ø¨Ø§Ø¯,6,3
90,2,90,1,yousef-abad,ÛŒÙˆØ³Ùâ€ŒØ¢Ø¨Ø§Ø¯,6,3
159,0,159,1,shahrak-e-parvaz,Ø´Ù‡Ø±Ú© Ù¾Ø±ÙˆØ§Ø²,5,3
159,1,159,1,shahrak-e-parvaz,Ø´Ù‡Ø±Ú© Ù¾Ø±ÙˆØ§Ø²,5,3
159,2,159,1,shahrak-e-parvaz,Ø´Ù‡Ø±Ú© Ù¾Ø±ÙˆØ§Ø²,5,3
256,0,256,1,esfandyari,Ø§Ø³ÙÙ†Ø¯ÛŒØ§Ø±ÛŒ,19,3
256,1,256,1,esfandyari,Ø§Ø³ÙÙ†Ø¯ÛŒØ§Ø±ÛŒ,19,3
256,2,256,1,esfandyari,Ø§Ø³ÙÙ†Ø¯ÛŒØ§Ø±ÛŒ,19,3
312,0,312,1,shahid-navab-safavi,Ù†ÙˆØ§Ø¨,10,3
312,1,312,1,shahid-navab-safavi,Ù†ÙˆØ§Ø¨,10,3
312,2,312,1,shahid-navab-safavi,Ù†ÙˆØ§Ø¨,10,3
425,0,425,1,varamin,ÙˆØ±Ø§Ù…ÛŒÙ†,,3
425,1,425,1,varamin,ÙˆØ±Ø§Ù…ÛŒÙ†,,3
425,2,425,1,varamin,ÙˆØ±Ø§Ù…ÛŒÙ†,,3
1029,0,1029,1,dr-hoshyar,Ø¯Ú©ØªØ± Ù‡ÙˆØ´ÛŒØ§Ø±,9,3
1029,1,1029,1,dr-hoshyar,Ø¯Ú©ØªØ± Ù‡ÙˆØ´ÛŒØ§Ø±,9,3
1029,2,1029,1,dr-hoshyar,Ø¯Ú©ØªØ± Ù‡ÙˆØ´ÛŒØ§Ø±,9,3
297,0,297,1,behjat-abad,Ø¨Ù‡Ø¬Øªâ€ŒØ¢Ø¨Ø§Ø¯,6,3
297,1,297,1,behjat-abad,Ø¨Ù‡Ø¬Øªâ€ŒØ¢Ø¨Ø§Ø¯,6,3
297,2,297,1,behjat-abad,Ø¨Ù‡Ø¬Øªâ€ŒØ¢Ø¨Ø§Ø¯,6,3
